polygon,polygon_type,label
KOTA PARIAMAN_TUNGKAL UTARA,Desa,NDEZNET_DESAQ2
KOTA PARIAMAN_SINTUK,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_SIDOLUHUR,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_SRIPENDOWO,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_BELAMBANGAN,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_KURIPAN,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_TAMAN BARU,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_RUANG TENGAH,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_KAMPUNG BARU,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_PENENGAHAN,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_MANDALA SARI,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_BAKTIRASA,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_BANDAN HURIP,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_PALAS JAYA,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_KOTA GURING,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_CANGGUNG,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_TAMAN AGUNG,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_MUNJUK SAMPURNA,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_CANGGU,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_TAJIMALELA,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_MAJA,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_TENGKUJUH,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_JONDONG,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_BALI NURAGA,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_SIDORENO,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_SIDOMAKMUR,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_BANYUMAS,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_BERINGIN KENCANA,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_RAWA SELAPAN,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_TRIMOMUKTI,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_BANDAR DALAM,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_SUAK,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_TRIHARJO,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_SUBAN,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_SIDOMEKAR,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_PURWODADI SIMPANG,Desa,NDEZNET_DESAQ2
MAGETAN_BANGUNASRI,Desa,NDEZNET_DESAQ2
MAGETAN_GEPLAK,Desa,NDEZNET_DESAQ2
MADIUN_MOJOREJO,Desa,NDEZNET_DESAQ2
PONOROGO_CEKOK,Desa,NDEZNET_DESAQ2
PONOROGO_MENANG,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_LUBUK ALUNG,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_AIE TAJUN LUBUK ALUNG,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_SIKABU LUBUK ALUNG,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_SALIBUTAN LUBUK ALUNG,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_KURAI TAJI TIMUR,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_BISATI SUNGAI SARIAK,Desa,NDEZNET_DESAQ2
KOTA PARIAMAN_PASIR SUNUR,Desa,NDEZNET_DESAQ2
KOTA PARIAMAN_KEL. UJUNG BATUNG,Desa,NDEZNET_DESAQ2
KOTA PARIAMAN_TALAGO SARIK,Desa,NDEZNET_DESAQ2
KOTA PARIAMAN_SUNGAI SIRAH,Desa,NDEZNET_DESAQ2
KOTA PARIAMAN_KALUAT,Desa,NDEZNET_DESAQ2
NGAWI_BANYUBIRU,Desa,NDEZNET_DESAQ2
NGAWI_KEDUNGPUTRI,Desa,NDEZNET_DESAQ2
NGAWI_BANJARANSARI,Desa,NDEZNET_DESAQ2
NGAWI_BRANGOL,Desa,NDEZNET_DESAQ2
NGAWI_RANDUSONGO,Desa,NDEZNET_DESAQ2
NGAWI_KERSIKAN,Desa,NDEZNET_DESAQ2
NGAWI_PLOSO,Desa,NDEZNET_DESAQ2
NGAWI_SUMBERSARI,Desa,NDEZNET_DESAQ2
MAGETAN_NGILIRAN,Desa,NDEZNET_DESAQ2
MAGETAN_SIDOMULYO,Desa,NDEZNET_DESAQ2
MAGETAN_BANYUDONO,Desa,NDEZNET_DESAQ2
MAGETAN_NGURI,Desa,NDEZNET_DESAQ2
MAGETAN_PRAGAK,Desa,NDEZNET_DESAQ2
MADIUN_BOLO,Desa,NDEZNET_DESAQ2
MADIUN_KETANDAN,Desa,NDEZNET_DESAQ2
MADIUN_SUKOREJO,Desa,NDEZNET_DESAQ2
JEMBER_SUGERKIDUL,Desa,NDEZNET_DESAQ2
JEMBER_LEDOKOMBO,Desa,NDEZNET_DESAQ2
JEMBER_SUMBERSALAK,Desa,NDEZNET_DESAQ2
JEMBER_SUMBERKALONG,Desa,NDEZNET_DESAQ2
JEMBER_SUKORENO,Desa,NDEZNET_DESAQ2
JEMBER_SUMBERKETEMPA,Desa,NDEZNET_DESAQ2
JEMBER_SUMBERPINANG,Desa,NDEZNET_DESAQ2
JEMBER_KEMIRI,Desa,NDEZNET_DESAQ2
JEMBER_TUGUSARI,Desa,NDEZNET_DESAQ2
JEMBER_JATIROTO,Desa,NDEZNET_DESAQ2
JEMBER_KARANGBAYAT,Desa,NDEZNET_DESAQ2
JEMBER_NGAMPELREJO,Desa,NDEZNET_DESAQ2
JEMBER_ROWOINDAH,Desa,NDEZNET_DESAQ2
JEMBER_LAMPEJI,Desa,NDEZNET_DESAQ2
JEMBER_HARJOMULYO,Desa,NDEZNET_DESAQ2
TRENGGALEK_SURENLOR,Desa,NDEZNET_DESAQ2
TRENGGALEK_BANARAN,Desa,NDEZNET_DESAQ2
TRENGGALEK_BOGORAN,Desa,NDEZNET_DESAQ2
TRENGGALEK_KARANGGANDU,Desa,NDEZNET_DESAQ2
TRENGGALEK_BENDOROTO,Desa,NDEZNET_DESAQ2
PONOROGO_TULUNG,Desa,NDEZNET_DESAQ2
PONOROGO_JALEN,Desa,NDEZNET_DESAQ2
PONOROGO_BEDINGIN,Desa,NDEZNET_DESAQ2
PONOROGO_NAMBAK,Desa,NDEZNET_DESAQ2
PONOROGO_GOMBANG,Desa,NDEZNET_DESAQ2
PONOROGO_BROTO,Desa,NDEZNET_DESAQ2
PACITAN_NGROMO,Desa,NDEZNET_DESAQ2
PACITAN_KARANGGEDE,Desa,NDEZNET_DESAQ2
PACITAN_KARANGREJO,Desa,NDEZNET_DESAQ2
PACITAN_BORANG,Desa,NDEZNET_DESAQ2
PACITAN_GUNUNGSARI,Desa,NDEZNET_DESAQ2
PACITAN_CANDI,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_ULAKAN,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_SUKABAKTI,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_REJOMULYO,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_KALIASIN,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_GEDUNG HARAPAN,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_KRAWANG SARI,Desa,NDEZNET_DESAQ2
MAGETAN_PINGKUK,Desa,NDEZNET_DESAQ2
PONOROGO_SRANDIL,Desa,NDEZNET_DESAQ2
PACITAN_PURWOREJO,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_GUGUAK,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_KOTO TINGGI KURANJI HILIR,Desa,NDEZNET_DESAQ2
NGAWI_BANGUNREJO,Desa,NDEZNET_DESAQ2
NGAWI_JENGGRIK,Desa,NDEZNET_DESAQ2
NGAWI_KARTOHARJO,Desa,NDEZNET_DESAQ2
NGAWI_MANGUNHARJO,Desa,NDEZNET_DESAQ2
NGAWI_DERO,Desa,NDEZNET_DESAQ2
NGAWI_SAWO,Desa,NDEZNET_DESAQ2
NGAWI_CAMPURASRI,Desa,NDEZNET_DESAQ2
NGAWI_SETONO,Desa,NDEZNET_DESAQ2
MAGETAN_TAJI,Desa,NDEZNET_DESAQ2
MAGETAN_TRUNENG,Desa,NDEZNET_DESAQ2
MAGETAN_SIDOWAYAH,Desa,NDEZNET_DESAQ2
MAGETAN_JABUNG,Desa,NDEZNET_DESAQ2
MAGETAN_BALEASRI,Desa,NDEZNET_DESAQ2
MADIUN_PULEREJO,Desa,NDEZNET_DESAQ2
MADIUN_BADER,Desa,NDEZNET_DESAQ2
MADIUN_LEMBAH,Desa,NDEZNET_DESAQ2
MADIUN_GEGER,Desa,NDEZNET_DESAQ2
MADIUN_KEBONSARI,Desa,NDEZNET_DESAQ2
MADIUN_PALUR,Desa,NDEZNET_DESAQ2
MADIUN_SINGGAHAN,Desa,NDEZNET_DESAQ2
JEMBER_KEL. BANJARSENGON,Desa,NDEZNET_DESAQ2
JEMBER_GUNUNGMALANG,Desa,NDEZNET_DESAQ2
JEMBER_LEMBENGAN,Desa,NDEZNET_DESAQ2
JEMBER_GUMUKSARI,Desa,NDEZNET_DESAQ2
JEMBER_BEDADUNG,Desa,NDEZNET_DESAQ2
JEMBER_KAMAL,Desa,NDEZNET_DESAQ2
JEMBER_DARSONO,Desa,NDEZNET_DESAQ2
JEMBER_KEMUNINGLOR,Desa,NDEZNET_DESAQ2
JEMBER_KEMUNING SARI LOR,Desa,NDEZNET_DESAQ2
JEMBER_BADEAN,Desa,NDEZNET_DESAQ2
JEMBER_PONDOKDALEM,Desa,NDEZNET_DESAQ2
JEMBER_WIROWONGSO,Desa,NDEZNET_DESAQ2
JEMBER_CANGKRING,Desa,NDEZNET_DESAQ2
JEMBER_KEMUNINGSARIKIDUL,Desa,NDEZNET_DESAQ2
JEMBER_TEGALWARU,Desa,NDEZNET_DESAQ2
JEMBER_WONOASRI,Desa,NDEZNET_DESAQ2
TRENGGALEK_SUMBEREJO,Desa,NDEZNET_DESAQ2
PONOROGO_NGLAYANG,Desa,NDEZNET_DESAQ2
PONOROGO_KEMIRI,Desa,NDEZNET_DESAQ2
PONOROGO_PINTU,Desa,NDEZNET_DESAQ2
PONOROGO_GELANGKULON,Desa,NDEZNET_DESAQ2
PONOROGO_SUMBEREJO,Desa,NDEZNET_DESAQ2
PONOROGO_SAWUH,Desa,NDEZNET_DESAQ2
PONOROGO_TUGU,Desa,NDEZNET_DESAQ2
PONOROGO_PUDAK WETAN,Desa,NDEZNET_DESAQ2
PONOROGO_BEDOHO,Desa,NDEZNET_DESAQ2
PONOROGO_JANTI,Desa,NDEZNET_DESAQ2
PONOROGO_MENGGARE,Desa,NDEZNET_DESAQ2
PONOROGO_CALUK,Desa,NDEZNET_DESAQ2
PACITAN_JATIGUNUNG,Desa,NDEZNET_DESAQ2
PACITAN_TAHUNAN BARU,Desa,NDEZNET_DESAQ2
PACITAN_BANDAR,Desa,NDEZNET_DESAQ2
PACITAN_PAKIS BARU,Desa,NDEZNET_DESAQ2
PACITAN_KLESEM,Desa,NDEZNET_DESAQ2
PACITAN_WARENG,Desa,NDEZNET_DESAQ2
PACITAN_BELAH,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_TOBOH GADANG TIMUR,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_TAPAKIH,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_III KOTO AUR MALINTANG,Desa,NDEZNET_DESAQ2
KOTA BANDAR LAMPUNG_KEL. WAY GUBAK,Desa,NDEZNET_DESAQ2
KOTA BANDAR LAMPUNG_KEL. KEDAUNG,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_REJO MULYO,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_GUNUNG TERANG,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_CAMPANG TIGA,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_MEKAR JAYA,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_TANJUNG BARU,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_TRANS TANJUNGAN,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_PURWODADI DALAM,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_SINDANG SARI,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_LEMATANG,Desa,NDEZNET_DESAQ2
LAMPUNG SELATAN_MARGOREJO,Desa,NDEZNET_DESAQ2
MAGETAN_PANGGUNG,Desa,NDEZNET_DESAQ2
MAGETAN_TAMBAKREJO,Desa,NDEZNET_DESAQ2
PONOROGO_KEL. RONOWIJAYAN,Desa,NDEZNET_DESAQ2
KOTA PARIAMAN_KAMPUNG APAR,Desa,NDEZNET_DESAQ2
KOTA PARIAMAN_TALUK,Desa,NDEZNET_DESAQ2
KOTA PARIAMAN_NARAS I,Desa,NDEZNET_DESAQ2
NGAWI_SELOPURO,Desa,NDEZNET_DESAQ2
NGAWI_KANDANGAN,Desa,NDEZNET_DESAQ2
NGAWI_SUMBERBENING,Desa,NDEZNET_DESAQ2
NGAWI_SIDOKERTO,Desa,NDEZNET_DESAQ2
NGAWI_BANGET,Desa,NDEZNET_DESAQ2
NGAWI_KERSOHARJO,Desa,NDEZNET_DESAQ2
NGAWI_DAWUNG,Desa,NDEZNET_DESAQ2
NGAWI_TULAKAN,Desa,NDEZNET_DESAQ2
