polygon,polygon_type,label
WONOGIRI_WATANGREJO,DESA,NDEZNET_DESAQ2
SUKOHARJO_TEPISARI,DESA,NDEZNET_DESAQ2
SUKOHARJO_BENDOSARI,DESA,NDEZNET_DESAQ2
SUKOHARJO_PALUHOMBO,DESA,NDEZNET_DESAQ2
SUKOHARJO_PUHGOGOR,DESA,NDEZNET_DESAQ2
SUKOHARJO_CABEYAN,DESA,NDEZNET_DESAQ2
SUKOHARJO_JURON,DESA,NDEZNET_DESAQ2
SUKOHARJO_BARAN,DESA,NDEZNET_DESAQ2
SUKOHARJO_KARANGASEM,DESA,NDEZNET_DESAQ2
SUKOHARJO_PURON,DESA,NDEZNET_DESAQ2
SUKOHARJO_KEDUNGSONO,DESA,NDEZNET_DESAQ2
SUKOHARJO_KAMAL,DESA,NDEZNET_DESAQ2
KLATEN_TLOGOWATU,DESA,NDEZNET_DESAQ2
KLATEN_BENGKING,DESA,NDEZNET_DESAQ2
KLATEN_KEMIRI,DESA,NDEZNET_DESAQ2
KLATEN_GEDONGJETIS,DESA,NDEZNET_DESAQ2
KLATEN_LUMBUNGKEREP,DESA,NDEZNET_DESAQ2
KLATEN_KANOMAN,DESA,NDEZNET_DESAQ2
KLATEN_TLINGSING,DESA,NDEZNET_DESAQ2
KLATEN_BENDUNGAN,DESA,NDEZNET_DESAQ2
KLATEN_NENGAHAN,DESA,NDEZNET_DESAQ2
KLATEN_JIWOWETAN,DESA,NDEZNET_DESAQ2
KLATEN_JOGOPRAYAN,DESA,NDEZNET_DESAQ2
KLATEN_RANDUSARI,DESA,NDEZNET_DESAQ2
BOYOLALI_PILANGREJO,DESA,NDEZNET_DESAQ2
BOYOLALI_REPAKING,DESA,NDEZNET_DESAQ2
BOYOLALI_NGABLAK,DESA,NDEZNET_DESAQ2
BOYOLALI_KEMUSU,DESA,NDEZNET_DESAQ2
BOYOLALI_KUNTI,DESA,NDEZNET_DESAQ2
BOYOLALI_KEDUNGDOWO,DESA,NDEZNET_DESAQ2
BOYOLALI_KARANGKEPOH,DESA,NDEZNET_DESAQ2
BOYOLALI_TEMON,DESA,NDEZNET_DESAQ2
BOYOLALI_SANGUP,DESA,NDEZNET_DESAQ2
BOYOLALI_SUMUR,DESA,NDEZNET_DESAQ2
BOYOLALI_CABEANKUNTI,DESA,NDEZNET_DESAQ2
BOYOLALI_JELOK,DESA,NDEZNET_DESAQ2
BOYOLALI_SUMBUNG,DESA,NDEZNET_DESAQ2
BOYOLALI_SEBOTO,DESA,NDEZNET_DESAQ2
BOYOLALI_NGENDEN,DESA,NDEZNET_DESAQ2
BOYOLALI_SENDEN,DESA,NDEZNET_DESAQ2
BOYOLALI_SELO,DESA,NDEZNET_DESAQ2
BOYOLALI_LENCOH,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_SIDOLUHUR,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_SRIPENDOWO,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_BELAMBANGAN,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_KURIPAN,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_TAMAN BARU,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_RUANG TENGAH,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_KAMPUNG BARU,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_PENENGAHAN,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_MANDALA SARI,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_BAKTIRASA,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_BANDAN HURIP,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_PALAS JAYA,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_KOTA GURING,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_CANGGUNG,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_TAMAN AGUNG,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_MUNJUK SAMPURNA,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_CANGGU,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_TAJIMALELA,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_MAJA,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_TENGKUJUH,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_JONDONG,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_BALI NURAGA,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_SIDORENO,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_SIDOMAKMUR,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_BANYUMAS,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_BERINGIN KENCANA,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_RAWA SELAPAN,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_TRIMOMUKTI,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_BANDAR DALAM,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_SUAK,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_TRIHARJO,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_SUBAN,DESA,NDEZNET_DESAQ2
LAMPUNG SELATAN_SIDOMEKAR,DESA,NDEZNET_DESAQ2
